iter	Passed	Remaining
438	2327	323
439	2333	318
440	2339	313
441	2346	307
442	2352	302
443	2358	297
444	2363	292
445	2368	286
446	2373	281
447	2378	276
448	2384	270
449	2389	265
450	2396	260
451	2402	255
452	2408	249
453	2414	244
454	2419	239
455	2425	234
456	2433	228
457	2437	223
458	2442	218
459	2447	212
460	2452	207
461	2457	202
462	2462	196
463	2467	191
464	2474	186
465	2479	180
466	2484	175
467	2489	170
468	2494	164
469	2498	159
470	2503	154
471	2508	148
472	2514	143
473	2519	138
474	2524	132
475	2529	127
476	2535	122
477	2540	116
478	2546	111
479	2553	106
480	2558	101
481	2563	95
482	2568	90
483	2573	85
484	2578	79
485	2583	74
486	2589	69
487	2598	63
488	2604	58
489	2609	53
490	2614	47
491	2619	42
492	2624	37
493	2629	31
494	2635	26
495	2641	21
496	2646	15
497	2651	10
498	2656	5
499	2662	0
