iter	RMSE
0	0.04848111152
1	0.04847882328
2	0.04847713564
3	0.04847545314
4	0.04847332587
5	0.04847153921
6	0.04846925052
7	0.04846714899
8	0.04846509679
9	0.04846342948
10	0.04846201182
11	0.04845943914
12	0.04845710305
13	0.04845588813
14	0.04845415286
15	0.0484525268
16	0.04845106199
17	0.04844974545
18	0.0484484497
19	0.04844691972
20	0.04844543653
21	0.04844439046
22	0.04844315702
23	0.04844148895
24	0.04843949031
25	0.04843815524
26	0.04843701793
27	0.04843497746
28	0.04843363186
29	0.04843184633
30	0.04843007636
31	0.04842898571
32	0.0484275254
33	0.04842634098
34	0.04842527889
35	0.04842430528
36	0.048423139
37	0.04842151971
38	0.0484203742
39	0.04841947339
40	0.04841802581
41	0.04841682293
42	0.04841559138
43	0.04841325318
44	0.04841214132
45	0.04841125338
46	0.04841003211
47	0.04840889413
48	0.04840727176
49	0.0484058733
50	0.04840515712
51	0.04840371432
52	0.04840237566
53	0.048401175
54	0.04840035457
55	0.04839864596
56	0.04839748428
57	0.04839639029
58	0.04839565314
59	0.04839484043
60	0.04839387663
61	0.04839276433
62	0.04839090175
63	0.04838989879
64	0.04838775734
65	0.04838592844
66	0.04838463879
67	0.04838314848
68	0.0483808035
69	0.04837857826
70	0.04837716334
71	0.04837556335
72	0.04837397895
73	0.04837289485
74	0.04837167782
75	0.0483709012
76	0.04836984571
77	0.04836909251
78	0.04836846701
79	0.04836744535
80	0.04836605616
81	0.04836475555
82	0.04836304046
83	0.04836208906
84	0.04836022791
85	0.04835903923
86	0.04835809818
87	0.04835646367
88	0.0483551211
89	0.0483538228
90	0.04835218554
91	0.04835119743
92	0.04834964612
93	0.04834806087
94	0.04834633737
95	0.04834557338
96	0.04834417835
97	0.04834317703
98	0.04834151855
99	0.04833977395
100	0.04833809971
101	0.04833699916
102	0.04833584643
103	0.04833424768
104	0.04833326702
105	0.04833152213
106	0.04833032754
107	0.04832940679
108	0.04832847298
109	0.04832757568
110	0.04832609405
111	0.04832458106
112	0.0483229089
113	0.04832200627
114	0.0483195644
115	0.04831872172
116	0.04831757638
117	0.04831630056
118	0.04831494903
119	0.04831380882
120	0.04831314608
121	0.04831168749
122	0.04831071681
123	0.04830974872
124	0.04830922422
125	0.04830842572
126	0.04830752021
127	0.04830650508
128	0.04830552647
129	0.04830441996
130	0.04830337084
131	0.04830107418
132	0.04829993886
133	0.04829900449
134	0.04829810924
135	0.04829660583
136	0.04829591674
137	0.04829458553
138	0.04829308201
139	0.04829202742
140	0.04829100936
141	0.04829000432
142	0.04828909064
143	0.04828794199
144	0.04828738331
145	0.04828667321
146	0.04828567331
147	0.04828458723
148	0.0482827727
149	0.04828187455
150	0.04828071266
151	0.0482799633
152	0.04827922959
153	0.04827748275
154	0.04827609619
155	0.04827506474
156	0.04827379301
157	0.04827271189
158	0.04827211909
159	0.04827064359
160	0.04826973738
161	0.04826909231
162	0.0482675253
163	0.04826644665
164	0.04826590079
165	0.04826439376
166	0.04826329675
167	0.04826260458
168	0.04826167732
169	0.04826077355
170	0.04825930292
171	0.04825821625
172	0.04825595924
173	0.04825508671
174	0.04825435524
175	0.04825308297
176	0.04825210066
177	0.04825083617
178	0.04824981463
179	0.04824897856
180	0.0482482078
181	0.04824679167
182	0.04824546171
183	0.0482444688
184	0.0482436431
185	0.04824223205
186	0.04824068247
187	0.04823966071
188	0.04823878788
189	0.04823784187
190	0.0482362451
191	0.04823505076
192	0.0482332605
193	0.04823201904
194	0.04823065731
195	0.04822961704
196	0.04822857675
197	0.04822760701
198	0.04822678625
199	0.04822630528
200	0.04822389778
201	0.04822300637
202	0.04822245479
203	0.04822176987
204	0.04822077647
205	0.04821997127
206	0.04821853339
207	0.0482174092
208	0.04821683141
209	0.04821592941
210	0.04821530977
211	0.04821460907
212	0.04821322332
213	0.04821254612
214	0.04821157083
215	0.04821104264
216	0.04821032881
217	0.04820968817
218	0.04820906322
219	0.04820803556
220	0.04820717524
221	0.04820638289
222	0.04820537609
223	0.04820449219
224	0.04820311399
225	0.04820209667
226	0.04820136962
227	0.04820023718
228	0.04819913872
229	0.04819845347
230	0.04819765575
231	0.04819685802
232	0.04819573071
233	0.04819487278
234	0.04819428687
235	0.04819344461
236	0.04819200071
237	0.04819083143
238	0.04818996557
239	0.04818951301
240	0.04818850586
241	0.04818783878
242	0.04818605461
243	0.0481851468
244	0.04818436979
245	0.04818340178
246	0.04818203868
247	0.04818088486
248	0.04818049763
249	0.04817955047
250	0.04817836257
251	0.04817771628
252	0.04817584538
253	0.04817488243
254	0.04817424656
255	0.04817342489
256	0.04817251946
257	0.04817153813
258	0.04817091006
259	0.04817022703
260	0.04816854951
261	0.04816746341
262	0.04816586693
263	0.04816470748
264	0.04816354016
265	0.04816140697
266	0.04816074736
267	0.04816019768
268	0.04815930248
269	0.04815788111
270	0.04815711674
271	0.04815641781
272	0.04815555657
273	0.04815497018
274	0.04815302248
275	0.04815094642
276	0.04815001439
277	0.04814971593
278	0.04814883624
279	0.04814832046
280	0.04814786751
281	0.04814686211
282	0.04814616827
283	0.04814432233
284	0.04814308381
285	0.04814241348
286	0.04814113563
287	0.04814076903
288	0.04813950685
289	0.04813840439
290	0.04813694574
291	0.04813614438
292	0.04813547395
293	0.04813437924
294	0.04813395235
295	0.04813348618
296	0.04813191214
297	0.04813029352
298	0.04812943181
299	0.04812887392
300	0.04812805933
301	0.04812712947
302	0.04812623889
303	0.04812563643
304	0.04812420621
305	0.04812277332
306	0.04812202674
307	0.0481213273
308	0.04812007509
309	0.04811902981
310	0.04811837748
311	0.04811779064
312	0.04811692609
313	0.04811487729
314	0.04811378998
315	0.0481127367
316	0.04811223888
317	0.04811151571
318	0.04811092617
319	0.04811047287
320	0.04810967107
321	0.04810884567
322	0.0481080255
323	0.04810728917
324	0.04810635891
325	0.04810555442
326	0.04810474206
327	0.04810403974
328	0.04810310943
329	0.04810234943
330	0.04810094735
331	0.04810009297
332	0.04809918092
333	0.04809838418
334	0.04809779185
335	0.04809711826
336	0.04809638963
337	0.04809533335
338	0.04809460731
339	0.04809314471
340	0.04809214603
341	0.0480901853
342	0.04808972132
343	0.04808888248
344	0.04808836605
345	0.04808703959
346	0.04808645236
347	0.04808536965
348	0.04808463035
349	0.04808340865
350	0.04808242287
351	0.04808167566
352	0.04807968042
353	0.04807901183
354	0.04807820164
355	0.04807756711
356	0.04807618528
357	0.04807544059
358	0.04807421865
359	0.04807334545
360	0.04807241978
361	0.04807152818
362	0.0480706628
363	0.04806954301
364	0.04806907097
365	0.04806786723
366	0.04806661362
367	0.04806588715
368	0.04806513968
369	0.04806460202
370	0.04806341915
371	0.04806187167
372	0.04806089332
373	0.04805979167
374	0.04805946118
375	0.04805864279
376	0.04805771946
377	0.0480569535
378	0.04805615081
379	0.04805470015
380	0.04805393677
381	0.04805234964
382	0.04805142356
383	0.04805083066
384	0.04804931425
385	0.04804798408
386	0.04804750133
387	0.04804664863
388	0.04804601631
389	0.04804483823
390	0.04804407994
391	0.04804279947
392	0.04804181287
393	0.04804102304
394	0.04804015973
395	0.04803892115
396	0.04803797382
397	0.04803684803
398	0.04803585342
399	0.04803518684
400	0.04803383004
401	0.0480334285
402	0.04803312669
403	0.04803203752
404	0.04803074099
405	0.04803016883
406	0.04802949692
407	0.04802892474
408	0.04802839718
409	0.04802780399
410	0.04802737615
411	0.04802639448
412	0.04802594825
413	0.04802525266
414	0.04802447306
415	0.04802378533
416	0.0480231212
417	0.04802147267
418	0.04802034912
419	0.04801905227
420	0.04801709906
421	0.04801614343
422	0.04801539256
423	0.04801474408
424	0.04801401944
425	0.04801309263
426	0.04801236797
427	0.0480110289
428	0.04801051689
429	0.04800987622
430	0.04800928017
431	0.04800847668
432	0.0480079095
433	0.04800725829
434	0.04800627883
435	0.04800589807
436	0.04800399159
437	0.04800314337
438	0.04800227675
439	0.04800180404
440	0.04800091901
441	0.04800033599
442	0.04799920931
443	0.04799799069
444	0.04799709771
445	0.04799602086
446	0.04799550607
447	0.04799481529
448	0.04799428735
449	0.0479930003
450	0.04799187871
451	0.04799123516
452	0.04799088317
453	0.04799045238
454	0.04798956452
455	0.04798883425
456	0.04798797
457	0.04798706895
458	0.04798634653
459	0.04798598137
460	0.04798541918
461	0.04798501724
462	0.04798422648
463	0.04798375096
464	0.04798260025
465	0.04798202489
466	0.04798130238
467	0.04798045113
468	0.04797937917
469	0.04797883529
470	0.04797827565
471	0.04797726406
472	0.04797655726
473	0.04797585832
474	0.04797554826
475	0.04797491763
476	0.04797412671
477	0.04797359854
478	0.04797258948
479	0.04797171968
480	0.04797131763
481	0.04797043992
482	0.04796968308
483	0.0479691207
484	0.04796809578
485	0.047967741
486	0.04796711289
487	0.047966243
488	0.04796553865
489	0.04796418513
490	0.04796316537
491	0.04796280529
492	0.04796220341
493	0.04796121514
494	0.04796056592
495	0.04796006914
496	0.04795911763
497	0.04795830279
498	0.0479577429
499	0.04795613418
