ticker
AGQ
AHCO
ASTX
AXIA
BE
BMNG
BNAI
BRBR
BYAH
CODI
CRGY
CRK
EZGO
FVRR
GDXU
GDXY
HAO
HCKT
HOOZ
HUBC
ICOI
INFY
LBTYK
MSFO
MSTP
MTEN
MUD
NIQ
NXE
OCS
OKLS
OLMA
OMER
OTF
PATH
PRFX
QQQ
SAMG
SHPU
SLON
SMCX
SOLT
SPOK
SPY
SSG
SSL
STRC
UXRP
VCIG
VG
VITL
VMAR
VRDN
VREX
VRXA
XOMO
XRAY
XRPT
